,country,date,Unnamed: 0,confirmed,recovered,deaths,region,climate,active_case,active_case_%,deaths_%,recovered_%,safety
29214,Denmark,2020-12-13,273171,110305.0,79918.0,941.0,Europe,nontropic,29446.0,26.695072752821723,0.8530891618693622,72.45183808530892,not_safe
80710,Oman,2020-12-13,91159,126240.0,118048.0,1471.0,Middle east,nontropic,6721.0,5.323986058301648,1.1652408111533588,93.51077313054499,safe
12258,Bhutan,2020-12-13,90980,438.0,403.0,0.0,Asia & Pacific,nontropic,35.0,7.9908675799086755,0.0,92.00913242009132,safe
105830,Switzerland,2020-12-13,91197,373831.0,291500.0,6235.0,Europe,nontropic,76096.0,20.355722238123644,1.6678659608218687,77.97641180105448,not_safe
118390,Venezuela,2020-12-13,91227,107786.0,102289.0,954.0,South/Latin America,tropic,4543.0,4.21483309520717,0.8850871170652961,94.90007978772753,safe
26702,Croatia,2020-12-13,91052,175886.0,148211.0,2640.0,Europe,nontropic,25035.0,14.233651342346747,1.5009722206429164,84.26537643701033,not_safe
32354,Egypt,2020-12-13,91064,121575.0,104875.0,6920.0,Middle east,nontropic,9780.0,8.044417026526835,5.691959695661114,86.26362327781204,not_safe
90130,Rwanda,2020-12-13,91172,6659.0,5955.0,56.0,Africa,tropic,648.0,9.731190869499924,0.8409671121790059,89.42784201832107,safe
5978,Austria,2020-12-13,90970,322463.0,281106.0,4473.0,Europe,nontropic,36884.0,11.43821151573979,1.3871358884585208,87.17465259580169,not_safe
66894,Maldives,2020-12-13,91131,13368.0,12706.0,48.0,Asia & Pacific,nontropic,614.0,4.593058049072412,0.3590664272890485,95.04787552363854,safe
88246,Qatar,2020-12-13,91169,140961.0,138490.0,240.0,Middle east,nontropic,2231.0,1.5827072736430643,0.17025985910996658,98.24703286724697,safe
110226,Togo,2020-12-13,91204,3251.0,2771.0,66.0,Africa,tropic,414.0,12.734543217471547,2.0301445709012613,85.23531221162719,not_safe
27330,Cuba,2020-12-13,91053,9423.0,8434.0,137.0,South/Latin America,tropic,852.0,9.041706462909902,1.4538894195054652,89.50440411758463,safe
106458,Syria,2020-12-13,91198,9166.0,4376.0,518.0,Asia & Pacific,nontropic,4272.0,46.60702596552476,5.651320096006982,47.741653938468254,not_safe
83850,Panama,2020-12-13,91162,193007.0,162105.0,3356.0,South/Latin America,tropic,27546.0,14.272021222028217,1.7387970384493827,83.9891817395224,not_safe
79454,Nigeria,2020-12-13,91156,73175.0,66090.0,1197.0,Africa,tropic,5888.0,8.046463956269218,1.6358045780662795,90.31773146566451,safe
88874,Romania,2020-12-13,91170,556335.0,457360.0,13385.0,Europe,nontropic,85590.0,15.384615384615385,2.405924487943415,82.2094601274412,not_safe
4094,Argentina,2020-12-13,90960,1498160.0,1335317.0,40766.0,South/Latin America,nontropic,122077.0,8.148462113525925,2.721071180648262,89.13046670582581,safe
95154,Senegal,2020-12-13,91180,17075.0,16094.0,349.0,Africa,tropic,632.0,3.7013177159590045,2.0439238653001466,94.25475841874085,safe
53706,Jordan,2020-12-13,91110,259614.0,218467.0,3365.0,Middle east,nontropic,37782.0,14.553144283436179,1.29615506097514,84.15070065558868,not_safe
59986,Lebanon,2020-12-13,91120,146520.0,101334.0,1200.0,Middle east,nontropic,43986.0,30.020475020475022,0.819000819000819,69.16052416052416,not_safe
29842,Djibouti,2020-12-13,91060,5728.0,5618.0,61.0,Arab States,tropic,49.0,0.8554469273743017,1.0649441340782122,98.07960893854748,safe
65010,Madagascar,2020-12-13,91128,17587.0,16992.0,259.0,Africa,tropic,336.0,1.9105020753965998,1.4726786831182124,96.61681924148519,safe
53078,Japan,2020-12-13,91109,180639.0,149130.0,2481.0,Asia & Pacific,nontropic,29028.0,16.06961951737997,1.3734575589988873,82.55692292362114,not_safe
63126,Lithuania,2020-12-13,91125,93255.0,50455.0,1039.0,Europe,nontropic,41761.0,44.781513055600236,1.114149375368613,54.10433756903115,not_safe
62498,Liechtenstein,2020-12-13,91124,1514.0,1296.0,20.0,Europe,nontropic,198.0,13.077939233817702,1.321003963011889,85.60105680317041,not_safe
63754,Luxembourg,2020-12-13,91126,40755.0,31678.0,392.0,Europe,nontropic,8685.0,21.31026867868973,0.9618451723714881,77.72788614893878,not_safe
54334,Kazakhstan,2020-12-13,91111,186277.0,157701.0,2609.0,Asia & Pacific,nontropic,25967.0,13.939992591677985,1.4006023287899203,84.65940507953209,not_safe
27958,Cyprus,2020-12-13,91054,14800.0,2057.0,78.0,Europe,nontropic,12665.0,85.57432432432432,0.527027027027027,13.89864864864865,not_safe
19166,Cameroon,2020-12-13,90992,25143.0,23851.0,443.0,Africa,tropic,849.0,3.3766853597422744,1.7619218072624587,94.86139283299526,safe
110854,Trinidad and Tobago,2020-12-13,91205,6879.0,6145.0,122.0,South/Latin America,tropic,612.0,8.89664195377235,1.7735135920918739,89.32984445413578,safe
65638,Malawi,2020-12-13,91129,6066.0,5491.0,187.0,Africa,tropic,388.0,6.396307286515001,3.082756346851302,90.52093636663369,safe
